id,season,year,holiday,weekday,workingday,weather,temp,feel_temp,hum,windspeed,promotion_level,promotion_type,promotion_level_external,promotion_type_external,casual,registered,cnt
12765,winter,2016,0,6,0,cloud,0.344167,0.363625,0.805833,0.160446,7,1,2,2,226,654,880
12766,winter,2016,0,0,0,cloud,0.363478,0.353739,0.696087,0.248539,8,1,8,1,125,670,795
12767,winter,2016,0,1,1,fair,0.196364,0.189405,0.437273,0.248309,3,1,10,2,75,1229,1304
12768,winter,2016,0,2,1,fair,0.2,0.212122,0.590435,0.160296,0,1,8,3,67,1454,1521
12769,winter,2016,0,3,1,fair,0.226957,0.22927,0.436957,0.1869,2,0,5,1,58,1518,1576
12770,winter,2016,0,4,1,fair,0.204348,0.233209,0.518261,0.0895652,0,0,10,3,63,1518,1581
12771,winter,2016,0,5,1,cloud,0.196522,0.208839,0.498696,0.168726,4,1,3,3,88,1362,1450
12772,winter,2016,0,6,0,cloud,0.165,0.162254,0.535833,0.266804,6,1,9,1,78,891,969
12773,winter,2016,0,0,0,fair,0.138333,0.116175,0.434167,0.36195,5,1,8,0,70,768,838
12774,winter,2016,0,1,1,fair,0.150833,0.150888,0.482917,0.223267,4,0,2,2,30,1280,1310
12775,winter,2016,0,2,1,cloud,0.169091,0.191464,0.686364,0.122132,7,0,3,2,24,1220,1244
12776,winter,2016,0,3,1,fair,0.172727,0.160473,0.599545,0.304627,5,0,10,1,13,1137,1150
12777,winter,2016,0,4,1,fair,0.165,0.150883,0.470417,0.301,5,1,7,1,23,1368,1391
12778,winter,2016,0,5,1,fair,0.16087,0.188413,0.537826,0.126548,7,1,6,3,44,1367,1411
12779,winter,2016,0,6,0,cloud,0.233333,0.248112,0.49875,0.157963,4,0,1,0,169,1026,1195
12780,winter,2016,0,0,0,fair,0.231667,0.234217,0.48375,0.188433,6,0,2,2,184,953,1137
12781,winter,2016,1,1,0,cloud,0.175833,0.176771,0.5375,0.194017,8,0,8,1,97,883,980
12782,winter,2016,0,2,1,cloud,0.216667,0.232333,0.861667,0.146775,3,1,10,2,9,674,683
12783,winter,2016,0,3,1,cloud,0.292174,0.298422,0.741739,0.208317,4,1,7,2,48,1572,1620
12784,winter,2016,0,4,1,cloud,0.261667,0.25505,0.538333,0.195904,3,1,8,1,55,1844,1899
12785,winter,2016,0,5,1,fair,0.1775,0.157833,0.457083,0.353242,4,1,1,2,46,1468,1514
12786,winter,2016,0,6,0,fair,0.0591304,0.0790696,0.4,0.17197,7,0,1,0,93,888,981
12787,winter,2016,0,0,0,fair,0.0965217,0.0988391,0.436522,0.2466,4,0,6,3,118,836,954
12788,winter,2016,0,1,1,fair,0.0973913,0.11793,0.491739,0.15833,7,0,5,3,49,1330,1379
12789,winter,2016,0,2,1,cloud,0.223478,0.234526,0.616957,0.129796,4,1,7,0,106,1799,1905
12790,winter,2016,0,3,1,rain,0.2175,0.2036,0.8625,0.29385,1,1,3,2,0,472,472
12791,winter,2016,0,4,1,fair,0.195,0.2197,0.6875,0.113837,4,1,8,0,22,416,438
12792,winter,2016,0,5,1,cloud,0.203478,0.223317,0.793043,0.1233,2,0,3,2,31,1129,1160
12793,winter,2016,0,6,0,fair,0.196522,0.212126,0.651739,0.145365,5,0,9,3,116,975,1091
12794,winter,2016,0,0,0,fair,0.216522,0.250322,0.722174,0.0739826,5,0,6,1,130,956,1086
12795,winter,2016,0,1,1,cloud,0.180833,0.18625,0.60375,0.187192,1,0,5,0,31,1459,1490
12796,winter,2016,0,2,1,cloud,0.192174,0.23453,0.829565,0.053213,4,0,2,0,32,1313,1345
12797,winter,2016,0,3,1,cloud,0.26,0.254417,0.775417,0.264308,3,1,6,0,40,1454,1494
12798,winter,2016,0,4,1,fair,0.186957,0.177878,0.437826,0.277752,2,1,8,0,41,1489,1530
12799,winter,2016,0,5,1,cloud,0.211304,0.228587,0.585217,0.127839,4,0,10,2,61,1620,1681
12800,winter,2016,0,6,0,cloud,0.233333,0.243058,0.929167,0.161079,3,1,7,2,98,905,1003
12801,winter,2016,0,0,0,fair,0.285833,0.291671,0.568333,0.1418,3,1,10,3,243,1269,1512
12802,winter,2016,0,1,1,fair,0.271667,0.303658,0.738333,0.0454083,2,0,4,1,89,1592,1681
12803,winter,2016,0,2,1,fair,0.220833,0.198246,0.537917,0.36195,7,0,10,2,35,1466,1501
12804,winter,2016,0,3,1,cloud,0.134783,0.144283,0.494783,0.188839,5,0,6,0,28,1552,1580
12805,winter,2016,0,4,1,fair,0.144348,0.149548,0.437391,0.221935,8,0,2,3,27,1491,1518
12806,winter,2016,0,5,1,fair,0.189091,0.213509,0.506364,0.10855,7,1,3,2,97,1597,1694
12807,winter,2016,0,6,0,fair,0.2225,0.232954,0.544167,0.203367,5,1,2,0,203,1184,1387
12808,winter,2016,0,0,0,fair,0.316522,0.324113,0.457391,0.260883,2,1,9,0,266,1192,1458
12809,winter,2016,0,1,1,fair,0.415,0.39835,0.375833,0.417908,5,0,7,0,133,1705,1838
12810,winter,2016,0,2,1,fair,0.266087,0.254274,0.314348,0.291374,5,1,4,1,88,1675,1763
12811,winter,2016,0,3,1,fair,0.318261,0.3162,0.423478,0.251791,4,0,9,3,129,1897,2026
12812,winter,2016,0,4,1,fair,0.435833,0.428658,0.505,0.230104,1,0,1,2,163,2216,2379
12813,winter,2016,0,5,1,fair,0.521667,0.511983,0.516667,0.264925,6,1,1,0,338,2348,2686
12814,winter,2016,0,6,0,fair,0.399167,0.391404,0.187917,0.507463,3,1,4,0,334,1103,1437
12815,winter,2016,0,0,0,fair,0.285217,0.27733,0.407826,0.223235,3,1,3,2,384,1173,1557
12816,winter,2016,1,1,0,cloud,0.303333,0.284075,0.605,0.307846,5,1,5,0,143,912,1055
12817,winter,2016,0,2,1,fair,0.182222,0.186033,0.577778,0.195683,4,1,7,1,47,1376,1423
12818,winter,2016,0,3,1,fair,0.221739,0.245717,0.423043,0.094113,6,0,10,1,91,1778,1869
12819,winter,2016,0,4,1,cloud,0.295652,0.289191,0.697391,0.250496,1,1,1,0,61,1707,1768
12820,winter,2016,0,5,1,cloud,0.364348,0.350461,0.712174,0.346539,4,1,10,3,76,1341,1417
12821,winter,2016,0,6,0,fair,0.2825,0.282192,0.537917,0.186571,7,1,3,1,277,1545,1822
12822,winter,2016,0,0,0,fair,0.343478,0.351109,0.68,0.125248,5,1,3,3,416,1708,2124
12823,winter,2016,0,1,1,cloud,0.407273,0.400118,0.876364,0.289686,5,1,4,0,60,1365,1425
12824,spring,2016,0,2,1,fair,0.266667,0.263879,0.535,0.216425,3,1,8,3,103,1714,1817
12825,spring,2016,0,3,1,fair,0.335,0.320071,0.449583,0.307833,4,0,2,1,153,1903,2056
12826,spring,2016,0,4,1,fair,0.198333,0.200133,0.318333,0.225754,8,1,6,0,94,1562,1656
12827,spring,2016,0,5,1,cloud,0.261667,0.255679,0.610417,0.203346,4,1,6,1,143,1730,1873
12828,spring,2016,0,6,0,cloud,0.384167,0.378779,0.789167,0.251871,3,1,2,3,397,1437,1834
12829,spring,2016,0,0,0,cloud,0.376522,0.366252,0.948261,0.343287,4,0,9,3,123,491,614
12830,spring,2016,0,1,1,fair,0.261739,0.238461,0.551304,0.341352,3,0,6,2,153,1628,1781
12831,spring,2016,0,2,1,fair,0.2925,0.3024,0.420833,0.12065,4,0,5,0,205,1817,2022
12832,spring,2016,0,3,1,cloud,0.295833,0.286608,0.775417,0.22015,3,1,4,1,122,1700,1822
12833,spring,2016,0,4,1,rain,0.389091,0.385668,0,0.261877,5,1,4,3,59,577,636
12834,spring,2016,0,5,1,cloud,0.316522,0.305,0.649565,0.23297,5,1,7,2,161,1730,1891
12835,spring,2016,0,6,0,fair,0.329167,0.32575,0.594583,0.220775,5,1,3,2,445,1408,1853
