101,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,,,,,,,,,,,,
102,tropical fruit,yogurt,coffee,,,,,,,,,,,,,,,,,,,,
103,whole milk,,,,,,,,,,,,,,,,,,,,,,
104,pip fruit,yogurt,cream cheese ,meat spreads,,,,,,,,,,,,,,,,,,,
105,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,,,,,,,,,,,,
106,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,,,,,,,,,,,,
107,rolls/buns,,,,,,,,,,,,,,,,,,,,,,
108,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,
109,pot plants,,,,,,,,,,,,,,,,,,,,,,
110,whole milk,cereals,,,,,,,,,,,,,,,,,,,,,
111,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,,,,,,,,,,,,
112,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,,,,,,,,,,,,
113,breadbutterjam,,,,,,,,,,,,,,,,,,,,,,
114,frankfurter,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,
115,chicken,tropical fruit,,,,,,,,,,,,,,,,,,,,,
116,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,
117,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
118,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,
119,chocolate,,,,,,,,,,,,,,,,,,,,,,
120,specialty bar,,,,,,,,,,,,,,,,,,,,,,
121,other vegetables,,,,,,,,,,,,,,,,,,,,,,
122,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,
123,whole milk,,,,,,,,,,,,,,,,,,,,,,
124,tropical fruit,cream cheese ,processed cheese,detergent,newspapers,,,,,,,,,,,,,,,,,,
125,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,,,,,,,,,,,,
126,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,
127,yogurt,,,,,,,,,,,,,,,,,,,,,,
128,sausage,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,
129,other vegetables,,,,,,,,,,,,,,,,,,,,,,
130,brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,,,,,,,,,,,,,,,,
131,yogurt,beverages,bottled water,specialty bar,,,,,,,,,,,,,,,,,,,
132,hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins,,,,,,,,,,,,,,,,
133,root vegetables,other vegetables,whole milk,beverages,sugar,,,,,,,,,,,,,,,,,,
134,pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,,,,,,,,,,,,,,,
135,breadbutterjam,grapes,detergent,,,,,,,,,,,,,,,,,,,,
136,pastry,soda,,,,,,,,,,,,,,,,,,,,,
137,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
138,canned beer,,,,,,,,,,,,,,,,,,,,,,
139,root vegetables,other vegetables,whole milk,dessert,,,,,,,,,,,,,,,,,,,
140,citrus fruit,zwieback,newspapers,,,,,,,,,,,,,,,,,,,,
141,sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags,,,,,,,,,,,,,,,,,
142,tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy,,,,,,,,,,
143,berries,yogurt,,,,,,,,,,,,,,,,,,,,,
144,canned beer,,,,,,,,,,,,,,,,,,,,,,
145,butter milk,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,newspapers,,,,,,,,,,,,,,,
146,coffee,,,,,,,,,,,,,,,,,,,,,,
147,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,
148,rolls/buns,,,,,,,,,,,,,,,,,,,,,,
149,misc. beverages,,,,,,,,,,,,,,,,,,,,,,
150,root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product,,,,,,,,,,,,,
151,sausage,rolls/buns,cat food,newspapers,,,,,,,,,,,,,,,,,,,
152,canned beer,,,,,,,,,,,,,,,,,,,,,,
153,ham,grapes,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,
154,turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice,,,,,,,,,,,,,
155,whole milk,yogurt,processed cheese,pickled vegetables,soda,,,,,,,,,,,,,,,,,,
156,whole milk,curd,yogurt,pastry,,,,,,,,,,,,,,,,,,,
157,packaged fruit/vegetables,brown bread,canned beer,,,,,,,,,,,,,,,,,,,,
